#{"t_start": 1587328560.507644, "env_id": "MountainCarContinuous-v0"}
r,l,t
64.122883,730,16.85943
-52.14477,999,17.818509
-51.563204,999,18.793068
-51.826221,999,19.741542
-53.127001,999,20.705535
-52.602952,999,21.885098
-50.20962,999,23.105918
-51.480635,999,24.060433
-49.949354,999,25.006486
-51.471182,999,25.972368
-0.001052,999,36.296007
-0.000981,999,37.328871
-0.001048,999,38.352029
-0.001029,999,39.318171
-0.001019,999,40.290701
-0.000956,999,41.247308
-0.001045,999,42.343017
-0.001032,999,43.366671
-0.001033,999,44.358275
-0.00097,999,45.381019
-0.001001,999,53.689384
-0.001049,999,116.714579
-0.001005,999,349.996363
-0.001056,999,350.954197
-0.001043,999,351.945591
-0.000887,999,352.944806
-0.001018,999,354.046786
-0.000987,999,494.678012
-0.000996,999,495.803005
-0.000942,999,497.009914
-0.000973,999,498.213678
-0.00095,999,499.338649
-0.000987,999,533.952835
-0.001012,999,534.98944
-0.001042,999,535.975598
-0.000995,999,536.960804
-0.001001,999,537.93802
-0.000951,999,570.918292
-0.00104,999,572.334429
-0.00105,999,573.330466
-0.001018,999,574.310293
-0.001085,999,575.493168
-0.000935,999,576.555147
-0.001004,999,578.183912
-0.001007,999,579.429099
-0.001034,999,580.642309
-0.000956,999,581.864797
-0.001061,999,583.039639
-0.001003,999,584.177811
-0.001011,999,585.25214
-0.000991,999,586.469443
-0.000984,999,587.542192
-0.001005,999,588.650201
-0.001013,999,589.719944
-0.001047,999,590.966663
-0.001044,999,592.191598
-0.001058,999,593.29607
-0.00099,999,594.669722
-0.000945,999,595.771892
-0.001047,999,596.875771
-0.001033,999,597.936584
-0.001067,999,598.986235
-0.000965,999,600.042551
-0.001023,999,601.103394
-0.000965,999,602.178514
-0.00093,999,603.239333
-0.001131,999,604.290327
-0.000973,999,605.345467
-0.001098,999,606.398065
-0.001065,999,607.448962
-0.001052,999,608.49507
-0.001049,999,609.539256
-0.001038,999,610.583646
-0.001038,999,611.631722
-0.000985,999,612.722179
-0.001078,999,613.769473
-0.000934,999,614.810835
-0.001028,999,615.852928
-0.001041,999,616.909891
-0.001037,999,617.966851
-0.001043,999,619.022567
-0.000931,999,620.07457
-0.001039,999,621.112848
-0.001036,999,622.179545
-0.001016,999,623.232208
-0.000972,999,624.279404
-0.000917,999,625.424049
-0.001035,999,626.472815
-0.00106,999,627.516743
-0.001017,999,628.55839
-0.00099,999,629.590219
-0.000971,999,630.631109
-0.000988,999,631.682517
-0.000992,999,632.764512
-0.00101,999,633.810188
-0.000962,999,634.848336
-0.000973,999,635.889214
-0.001023,999,636.949968
-0.001053,999,637.986342
-0.000976,999,639.022943
-0.000985,999,640.313101
-0.001048,999,641.521944
-0.00105,999,642.791212
-0.00105,999,644.246021
-0.001003,999,645.317339
-0.001023,999,646.39373
-0.001045,999,647.444165
-0.000924,999,648.717793
-0.001006,999,649.86628
-0.000953,999,650.943555
-0.001013,999,652.027171
-0.00107,999,653.187834
-0.000976,999,654.263824
-0.001002,999,655.345259
-0.001004,999,656.421755
-0.001078,999,657.491575
-0.000941,999,658.568824
-0.001028,999,659.650022
-0.000992,999,660.717392
-0.001032,999,661.799882
-0.001021,999,662.908234
-0.001033,999,663.980465
-0.001001,999,665.061302
-0.000993,999,666.129958
-0.001066,999,667.221041
-0.001004,999,668.287455
-0.000908,999,669.384959
-0.001004,999,670.453395
-0.001004,999,671.523164
-0.001084,999,672.641898
-0.000979,999,673.73666
-0.000952,999,674.803145
-0.000982,999,676.503528
-0.001042,999,678.114399
-0.000962,999,679.864768
-0.001058,999,681.211402
-0.000977,999,682.295711
-0.001013,999,718.510447
-0.001038,999,755.080552
-0.000981,999,789.622416
-0.001024,999,824.547238
-0.001026,999,858.819668
